ï..number,username,age,done,start,psu,survey,form.Demographiques_introduction.region,form.Demographiques_introduction.region_no,form.Demographiques_introduction.region_exno
535,ahinsia,40,8/17/2016 12:13,8/17/2016 11:47,11,7,exno,---,Maroua
309,ahinsia,42,8/17/2016 12:38,8/17/2016 12:19,11,8,exno,---,Maroua
271,ahinsia,35,8/17/2016 12:59,8/17/2016 12:46,11,9,exno,---,Maroua
1174,ahinsia,16,8/17/2016 13:15,8/17/2016 13:03,11,10,exno,---,Maroua
1235,ahinsia,28,8/18/2016 13:01,8/18/2016 12:41,11,11,exno,---,Maroua
1072,ahinsia,25,8/18/2016 13:30,8/18/2016 13:12,11,12,exno,---,Maroua
56,ahinsia,45,8/18/2016 13:54,8/18/2016 13:41,11,13,exno,---,Kaele
616,ahinsia,41,8/18/2016 14:09,8/18/2016 13:57,11,14,exno,---,Mora
856,ahinsia,36,8/18/2016 14:25,8/18/2016 14:13,11,15,exno,---,Mokolo
663,ahinsia,25,8/20/2016 8:32,8/20/2016 8:20,12,1,exno,---,Maroua
664,ahinsia,30,8/20/2016 8:52,8/20/2016 8:36,12,2,exno,---,Maroua
665,ahinsia,22,8/20/2016 9:15,8/20/2016 8:56,12,3,exno,---,Maroua
402,ahinsia,23,8/20/2016 9:33,8/20/2016 9:20,12,4,exno,---,Maroua
1085,ahinsia,37,8/20/2016 9:46,8/20/2016 9:36,12,5,exno,---,Maroua
90,ahinsia,22,8/20/2016 10:07,8/20/2016 9:52,12,6,exno,---,Maroua
1155,ahinsia,42,8/20/2016 10:28,8/20/2016 10:15,12,7,exno,---,Mokolo
1125,ahinsia,24,8/20/2016 10:50,8/20/2016 10:38,12,8,exno,---,Maroua
1086,ahinsia,26,8/20/2016 11:21,8/20/2016 11:02,12,9,exno,---,Maroua
168,ahinsia,16,8/20/2016 11:47,8/20/2016 11:34,12,10,exno,---,Maroua
134,ahinsia,17,8/20/2016 11:59,8/20/2016 11:54,12,11,exno,---,Maroua
1156,ahinsia,23,8/20/2016 12:14,8/20/2016 12:00,12,12,exno,---,Maroua
347,ahinsia,18,8/20/2016 12:48,8/20/2016 12:30,12,13,exno,---,Maroua
1157,ahinsia,19,8/20/2016 12:59,8/20/2016 12:48,12,14,exno,---,Maroua
784,ahinsia,37,8/20/2016 13:09,8/20/2016 13:03,12,15,exno,---,Maroua
786,ahinsia,22,8/23/2016 13:40,8/23/2016 13:26,13,1,exno,---,Meskine
1203,ahinsia,18,8/23/2016 13:57,8/23/2016 13:44,13,2,exno,---,Meskine
183,ahinsia,22,8/23/2016 14:24,8/23/2016 14:05,13,3,exno,---,Meskine
904,ahinsia,28,8/23/2016 14:42,8/23/2016 14:32,13,4,exno,---,Meskine
905,ahinsia,16,8/23/2016 14:54,8/23/2016 14:45,13,5,exno,---,Meskine
1204,ahinsia,16,8/23/2016 15:09,8/23/2016 14:59,13,6,exno,---,Meskine
1237,ahinsia,25,8/25/2016 14:01,8/25/2016 13:25,13,7,exno,---,Meskine
617,ahinsia,19,8/25/2016 14:40,8/25/2016 14:25,13,8,exno,---,Meskine
931,ahinsia,53,8/25/2016 14:56,8/25/2016 14:51,13,9,exno,---,Meskine
1268,ahinsia,25,8/25/2016 15:13,8/25/2016 15:00,13,10,exno,---,Meskine
932,ahinsia,21,8/25/2016 15:40,8/25/2016 15:19,13,11,exno,---,Meskine
9,ahinsia,48,8/25/2016 16:09,8/25/2016 15:54,13,12,exno,---,Meskine
597,ahinsia,22,8/25/2016 16:25,8/25/2016 16:16,13,13,exno,---,Meskine
319,ahinsia,21,8/25/2016 16:38,8/25/2016 16:28,13,14,exno,---,Meskine
598,ahinsia,24,8/25/2016 17:05,8/25/2016 16:57,13,15,exno,---,Meskine
637,ahinsia,17,8/26/2016 13:50,8/26/2016 13:39,14,1,exno,---,Maroua
267,ahinsia,35,8/26/2016 14:10,8/26/2016 13:55,14,2,exno,---,Maroua
661,ahinsia,19,8/26/2016 14:34,8/26/2016 14:17,14,3,exno,---,Mora
913,ahinsia,30,8/26/2016 14:59,8/26/2016 14:41,14,4,exno,---,Maroua
908,ahinsia,24,8/26/2016 15:18,8/26/2016 15:06,14,5,exno,---,Maroua
542,ahinsia,27,8/26/2016 15:46,8/26/2016 15:31,14,6,exno,---,Maroua
1142,ahinsia,32,8/27/2016 9:10,8/27/2016 8:50,14,7,exno,---,Maroua
1207,ahinsia,29,8/28/2016 12:41,8/28/2016 12:29,14,8,exno,---,Maroua
1168,ahinsia,21,8/28/2016 13:24,8/28/2016 12:59,14,9,exno,---,Maroua
822,ahinsia,46,8/28/2016 13:42,8/28/2016 13:38,14,10,exno,---,Maroua
